country,city,GSV,espg,name,year,week,latitude,longitude,counts_week,spatial_lag,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,3_way_int_count,4_way_int_count,median_speed,dist_to_greenspace,dist_to_bikePOI,dist_to_edu,dist_to_train,bike_points,bus_stops,restaurants,daily_shops,business_shops,traffic_signals,cycle_length,ndvi_mean,ndvi_std,dem_mean,dem_std,lst_mean,lst_std,lc_entropy,pop_sum,build_area
USA,Seattle,y,32610,7th0Ave0South0of0Blanchard0St,2021,38,47.616498,-122.339874,371,912406,59,127,4.305084746,11035.87,86.89661417,3.762711864,58,8200.134,94,87.23546809,1.003832526,12,45,40.2335,194,0,211,162,84,3,36,4,10,22,1871.609649,0.183690018,0.158468153,33.83944954,6.029507235,17.05407043,0.510822932,0.672293615,409.6093445,0.07285963
USA,Seattle,y,32610,26th0Ave0SW0Greenway0at0SW0Oregon0St,2021,38,47.56287,-122.36552,843,911934,21,47,4.476190476,7541.739,160.4625319,2.952380952,19,3787.632,25,151.50528,1.030178995,16,3,40.2335,259,259,216,224,0,3,0,0,0,1,673.1410183,0.567904301,0.222667358,25.68636364,7.190700779,18.40853271,1.702635618,0.962281242,76.76025391,0.0136951
USA,Seattle,y,32610,Westlake0PBL0and0Newton0St,2021,38,47.636381,-122.340067,12188,900589,17,38,4.470588235,4013.18,105.61,2.588235294,12,2006.59,19,105.61,1.028721561,9,3,32.1868,0,211,203,211,0,6,3,1,2,0,799.2746617,0.148635958,0.231252818,13.7370892,14.25970998,17.58690145,2.222217033,0.784326369,338.3306274,0.03498089
Netherlands,Utrecht,y,32631,Vredenburg0(noordkant)0van0Utrecht0Centrum0naar0Utrecht0Centraal0Station0(10Ri),2022,38,52.0930862,5.1132951,249060,3109874,48,91,3.791666667,6565.574,72.14916484,2.875,41,4571.256,60,76.1876,1.060804536,23,13,30,33,85,0,82,6,6,53,2,68,32,2555.03819,0.151418568,0.10126422,10.78538813,3.616876501,17.91879593,0.877389495,0.567550426,760.0341187,0.1135952
Netherlands,Utrecht,y,32631,Van0Sijpesteijnkade0van0Utrecht0Centrum0naar0Lombok0(20Ri.),2022,38,52.0913353,5.1075339,235252,3123682,52,84,3.230769231,5626.721,66.98477381,3.115384615,49,5018.019,73,68.7399863,1.092571486,27,17,50,0,0,0,0,7,12,16,4,5,38,2648.225251,0.1147026,0.108491656,6.456621005,4.710979064,16.4045778,0.763748021,0.501833017,754.6101074,0.05038733
Netherlands,Utrecht,y,32631,Lucasbrug0zuidzijde0van0Utrecht0centrum0naar0Wittevrouwen0(10Ri.),2022,38,52.0928574,5.126617,209582,3149352,72,122,3.388888889,9039.059,74.09064754,2.916666667,65,6744.718,89,75.78334831,1.021708045,47,13,30,36,25,61,32,6,4,27,1,5,18,1048.756412,0.190274436,0.115809698,7.186915888,2.064976482,19.79848815,0.660229302,0.734827521,718.447998,0.08602214
Netherlands,Utrecht,y,32631,Maliesingel0van0Sterrenwijk0naar0Utrecht0Centrum0(20Ri.),2022,38,52.0870132,5.1292448,220128,3138806,34,53,3.117647059,4026.801,75.97737736,2.823529412,30,3308.545,42,78.77488095,1.005359372,26,3,30,0,0,0,0,2,0,2,0,1,0,229.2303492,0.353162825,0.187399734,6.493150685,2.250052994,17.64873738,1.539984626,0.803189912,723.5709839,0.05338336
Netherlands,Utrecht,y,32631,Daalsetunnel0noordbuis0van0Utrecht0Centrum0naar0Lombok0(20Ri.),2022,38,52.0942421,5.1070981,268038,3090896,66,116,3.515151515,7318.865,63.09366379,3.121212121,61,5634.046,88,64.02325,1.049497789,38,19,50,0,0,0,0,4,2,3,3,0,33,2620.644613,0.197950554,0.12435387,4.075117371,1.894888258,16.87621497,0.467660937,0.613669715,773.3294678,0.04248234
Netherlands,Utrecht,y,32631,Amsterdamsestraatweg0(oostkant)0van0Zuilen0naar0Utrecht0Centrum0(20Ri.),2022,38,52.0957832,5.1089039,230638,3128296,80,153,3.825,9841.655,64.32454248,3.1125,75,7231.288,109,66.34209174,1.084184231,46,24,30,0,65,0,0,2,2,6,3,2,23,2159.563067,0.25102505,0.132870836,4.213636364,1.647255418,16.91004417,0.574018777,0.74800742,783.5127563,0.06625595
Netherlands,Utrecht,y,32631,Amsterdamsestraatweg0(westkant)0van0Zuilen0naar0Utrecht0Centrum0(10Ri.),2022,38,52.0956917,5.108479,267140,3091794,77,146,3.792207792,9718.566,66.56552055,3.103896104,72,7382.625,106,69.64740566,1.081065293,44,23,30,0,67,82,82,2,2,7,3,2,23,2250.555833,0.237765605,0.12758926,4.087962963,1.597638164,16.93243408,0.58064368,0.734141336,822.8339844,0.0640662
Netherlands,Utrecht,y,32631,Alexander0Numankade0van0Rijnsweerd0naar0Utrecht0Centrum0(20Ri.),2022,38,52.1005516,5.1338186,73618,3285316,66,139,4.212121212,10161.348,73.10322302,2.96969697,58,7014.541,86,81.56443023,1.066023386,44,14,30,0,0,0,0,2,0,2,0,1,0,417.8161358,0.346688065,0.173576215,5.254545455,1.887453136,17.15541326,1.128457294,0.711702764,758.7824707,0.06038989
Netherlands,Utrecht,y,32631,Vleutenseweg/Hogeweidebrug0van0Utrecht0centrum0naar0Leidsche0Rijn0(20Ri.),2022,38,52.0974388,5.08038,253700,3105234,27,54,4,7553.342,139.8767037,3.185185185,26,4995.485,37,135.0131081,1.050465834,16,7,30,22,61,28,28,1,0,0,0,0,7,704.7895859,0.178118563,0.199903429,5.060185185,2.378742269,16.10340599,1.375550577,0.72407026,450.9811707,0.04605435
Netherlands,Utrecht,y,32631,Dafne0Schippersbrug0van0Utrecht0centum0naar0Leidsche0Rijn0(20Ri.),2022,38,52.0870781,5.0777812,147328,3211606,26,45,3.461538462,6672.889,148.2864222,3.038461538,22,5057.843,33,153.2679697,1.037545778,9,11,30,18,87,68,0,0,2,0,0,0,10,1723.383277,0.213381839,0.25439946,3.515981735,2.60197858,16.16390197,1.15846077,0.871799893,374.6270752,0.01271515
Netherlands,Utrecht,y,32631,De0Meernbrug0van0Leidsche0Rijn0naar0Utrecht0Centrum0(20Ri.),2022,38,52.0793266,5.0828061,95598,3263336,12,22,3.666666667,2721.736,123.7152727,2.75,10,1547.135,12,128.9279167,1.09226429,9,1,50,95,93,92,92,12,0,0,0,0,0,999.4780029,0.221214049,0.307679736,3.680751174,2.562176195,15.73350847,1.438388582,0.840846477,460.0167236,0.01891814
Netherlands,Utrecht,y,32631,Zeehaenkade0van0Utrecht0Centrum0naar0Nieuwegein0(20Ri.),2022,38,52.0664139,5.111692,165678,3193256,41,70,3.414634146,7433.948,106.1992571,2.853658537,35,4665.577,49,95.21585714,1.040861069,27,7,50,82,48,64,83,1,4,1,0,0,15,1805.796122,0.264960343,0.145050308,4.270642202,1.57537255,17.10903231,1.034306288,0.737643384,824.0169678,0.05537763
